time,value
11.83,156292
11.84,156292
11.85,156292
11.86,156292
11.870000000000001,156292
11.879999999999999,156292
11.89,156292
11.9,156292
11.91,156292
11.92,156292
11.93,156292
11.94,156292
11.95,156292
11.96,156292
11.969999999999999,156292
11.98,156292
11.99,156292
12.0,156292
12.01,156292
12.02,156292
12.03,156292
12.04,156292
12.05,156292
12.06,156292
12.07,156292
12.08,156292
12.09,156292
12.1,156292
12.11,156292
12.120000000000001,156292
12.129999999999999,156292
12.14,156292
12.15,156292
12.16,156292
12.17,156292
12.18,156292
12.19,156292
12.2,156292
12.21,156292
12.219999999999999,156292
12.23,156292
12.24,156292
12.25,156292
12.26,156292
12.27,156292
12.28,156292
12.29,156292
12.3,156292
12.31,156292
12.32,156292
12.33,156292
12.34,156292
12.35,156292
12.36,156292
12.370000000000001,156292
12.379999999999999,156292
12.39,156292
12.4,156292
12.41,156292
12.42,156292
12.43,156292
12.44,156292
12.45,156292
12.46,156292
12.469999999999999,156292
12.48,156292
12.49,156292
12.5,156292
12.51,156292
12.52,156292
12.53,156292
12.54,156292
12.55,156292
12.56,156292
12.57,156292
12.58,156292
12.59,156292
12.6,156292
12.61,156292
12.620000000000001,156292
12.629999999999999,156292
12.64,156292
12.65,156292
12.66,156292
12.67,156292
12.68,156292
12.69,156292
12.7,156292
12.71,156292
12.719999999999999,156292
12.73,156292
12.74,156292
12.75,156292
12.76,156292
12.77,156292
12.78,156292
12.79,156292
12.8,156292
12.81,156292
12.82,156292
12.83,156292
12.84,156292
12.85,156292
12.86,156292
12.870000000000001,156292
12.879999999999999,156292
12.89,156292
12.9,156292
12.91,156292
12.92,156292
12.93,156292
12.94,156292
12.95,156292
12.96,156292
12.969999999999999,156292
12.98,156292
12.99,156292
13.0,156292
13.01,156292
13.02,156292
13.03,156292
13.04,156292
13.05,156292
13.06,156292
13.07,156292
13.08,156292
13.09,156292
13.1,156292
13.11,156292
13.12,156292
13.129999999999999,156292
13.14,156292
13.15,156292
13.16,156292
13.17,156292
13.18,156292
13.19,156292
13.2,156292
13.21,156292
13.22,156292
13.23,156292
13.24,156292
13.25,156292
13.26,156292
13.27,156292
13.28,156292
13.29,156292
13.3,156292
13.31,156292
13.32,156292
13.33,156292
13.34,156292
13.35,156292
13.36,156292
13.37,156292
13.379999999999999,156292
13.39,156292
13.4,156292
13.41,156292
13.42,156292
13.43,156292
13.44,156292
13.45,156292
13.46,156292
13.47,156292
13.48,156292
13.49,156292
13.5,156292
13.51,156292
13.52,156292
13.53,156292
13.54,156292
13.55,156292
13.56,156292
13.57,156292
13.58,156292
13.59,156292
13.6,156292
13.61,156292
13.62,156292
13.629999999999999,156292
13.64,156292
13.65,156292
13.66,156292
13.67,156292
13.68,156292
13.69,156292
13.7,156292
13.71,156292
13.72,156292
13.73,156292
13.74,156292
13.75,156292
13.76,156292
13.77,156292
13.78,156292
13.79,156292
13.8,156292
13.81,156292
13.82,156292
13.83,156292
13.84,156292
13.85,156292
13.86,156292
13.87,156292
13.879999999999999,156292
13.89,156292
13.9,156292
13.91,156292
13.92,156292
13.93,156292
13.94,156292
13.95,156292
13.96,156292
13.97,156292
13.98,156292
13.99,156292
14.0,156292
14.01,156292
14.02,156292
14.03,156292
14.04,156292
14.05,156292
14.06,156292
14.07,156292
14.08,156292
14.09,156292
14.1,156292
14.11,156292
14.12,156292
14.13,156292
14.14,156292
14.15,156292
14.16,156292
14.17,156292
14.18,156292
14.19,156292
14.2,156292
14.21,156292
14.22,156292
14.23,156292
14.24,156292
14.25,156292
14.26,156292
14.27,156292
14.28,156292
14.29,156292
14.3,156292
14.31,156292
14.32,156292
14.33,156292
14.34,156292
14.35,156292
14.36,156292
14.37,156292
14.38,156292
14.39,156292
14.4,156292
14.41,156292
14.42,156292
14.43,156292
14.44,156292
14.45,156292
14.46,156292
14.47,156292
14.48,156292
14.49,156292
14.5,156292
14.51,156292
14.52,156292
14.53,156292
14.54,156292
14.55,156292
14.56,156292
14.57,156292
14.58,156292
14.59,156292
14.6,156292
14.61,156292
14.62,156292
14.63,156292
14.64,156292
14.65,156292
14.66,156292
14.67,156292
14.68,156292
14.69,156292
14.7,156292
14.71,156292
14.72,156292
14.73,156292
14.74,156292
14.75,156292
14.76,156292
14.77,156292
14.78,156292
14.79,156292
14.8,156292
14.81,156292
14.82,156292
14.83,156292
14.84,156292
14.85,156292
14.86,156292
14.87,156292
14.88,156292
14.89,156292
14.9,156292
14.91,156292
14.92,156292
14.93,156292
14.94,156292
14.95,156292
14.96,156292
14.97,156292
14.98,156292
14.99,156292
15.0,156292
